TIMESTAMP,FREQ_MHZ,SIGNAL_POWER_W,NOISE_FLOOR_W,SNR_DB,STATUS
2026-01-09T20:31:42.450873,S60[148; 00, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.790911,S60[153; 20, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.802670,S60[153; 30, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.813297,S60[153; 40, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.823697,S60[153; 50, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.834719,S60[154; 00, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.845304,S60[154; 10, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.860856,S60[154; 20, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.871325,S60[154; 30, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.881773,S60[154; 40, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.892153,S60[154; 50, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.902495,S60[155; 00, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.912811,S60[155; 10, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.923167,S60[155; 20, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.933703,S60[155; 30, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.944196,S60[155; 40, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.954614,S60[155; 50, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.965038,S60[156; 00, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.975405,S60[156; 10, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.985711,S60[156; 20, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.996057,S60[156; 30, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.006380,S60[156; 40, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.016745,S60[156; 50, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.027123,S60[157; 00, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.037478,S60[157; 10, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.047766,S60[157; 20, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.058193,S60[157; 30, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.069010,S60[157; 40, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:43.079422,S60[157; 50, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
